;full
2;[[8.0, 1.0, 5.0, 7.0, 9.0, 3.0], [1.0, 2.0, 4.0, 6.0]]
3;[[9.0, 3.0, 1.0, 5.0, 7.0, 4.0, 8.0, 1.0, 2.0, 6.0]]
4;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
5;[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
6;[[1.0, 5.0, 7.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0, 6.0]]
7;[[1.0, 5.0, 7.0], [3.0, 2.0, 4.0, 9.0, 1.0, 8.0, 6.0]]
8;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0, 8.0, 6.0]]
9;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
10;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
11;[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
12;[[1.0, 5.0, 7.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0, 6.0]]
13;[[1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 1.0, 8.0, 2.0, 6.0]]
14;[[1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0, 8.0, 2.0, 6.0]]
15;[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0]]
16;[[1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 8.0, 2.0]]
17;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
18;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
19;[[1.0, 3.0, 2.0, 4.0], [5.0, 7.0, 1.0, 8.0, 9.0, 6.0]]
20;[[1.0, 5.0, 7.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0, 6.0]]
21;[[1.0, 5.0, 7.0], [8.0, 1.0, 9.0, 6.0, 3.0, 2.0, 4.0]]
22;[[1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0, 8.0, 2.0, 6.0]]
23;[[9.0, 3.0, 1.0, 5.0, 7.0, 1.0, 8.0, 2.0, 4.0, 6.0]]
24;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 4.0, 8.0, 1.0, 2.0]]
25;[[9.0, 3.0, 1.0, 2.0, 8.0, 1.0, 5.0, 7.0, 6.0, 4.0]]
26;[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0]]
27;[[1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 4.0, 9.0, 1.0, 8.0]]
28;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
29;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
30;[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0]]
31;[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 9.0, 3.0, 2.0, 4.0]]
32;[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0]]
33;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 1.0, 8.0, 2.0, 4.0]]
34;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
35;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
36;[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 6.0, 1.0, 2.0]]
37;[[1.0, 3.0, 4.0, 9.0], [8.0, 1.0, 2.0, 5.0, 7.0, 6.0]]
38;[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0]]
39;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 1.0, 8.0, 2.0, 4.0]]
40;[[8.0, 1.0, 5.0, 7.0, 9.0, 3.0], [1.0, 2.0, 4.0, 6.0]]
41;[[9.0, 3.0, 1.0, 5.0, 7.0, 2.0, 8.0, 1.0, 4.0, 6.0]]
42;[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0]]
43;[[1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 8.0, 2.0]]
44;[[8.0, 3.0, 9.0, 1.0, 5.0, 6.0, 2.0], [7.0, 1.0, 4.0]]
45;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0, 6.0, 2.0]]
46;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
47;[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 6.0, 1.0, 2.0]]
48;[[1.0, 3.0, 4.0, 9.0], [8.0, 1.0, 2.0, 5.0, 7.0, 6.0]]
49;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
50;[[8.0, 1.0, 5.0, 7.0, 6.0, 1.0, 3.0, 2.0, 4.0, 9.0]]
51;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
52;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
53;[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 6.0, 1.0, 2.0]]
54;[[3.0, 9.0, 1.0, 5.0, 2.0], [8.0, 1.0, 7.0, 6.0, 4.0]]
55;[[8.0, 3.0, 9.0, 6.0, 5.0, 1.0, 2.0], [7.0, 1.0, 4.0]]
56;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 4.0, 8.0, 1.0, 2.0]]
57;[[1.0, 3.0, 2.0, 4.0], [5.0, 7.0, 1.0, 8.0, 9.0, 6.0]]
58;[[1.0, 5.0, 7.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0, 6.0]]
59;[[1.0, 5.0, 7.0], [8.0, 1.0, 9.0, 6.0, 3.0, 2.0, 4.0]]
60;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0, 2.0, 6.0]]
61;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 4.0, 8.0, 1.0, 2.0]]
62;[[9.0, 3.0, 1.0, 5.0, 2.0, 8.0, 7.0, 6.0, 4.0]]
63;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 1.0, 8.0, 6.0, 7.0]]
64;[[1.0, 3.0, 2.0, 4.0, 9.0, 5.0, 7.0, 6.0], [1.0, 8.0]]
65;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
66;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
67;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
68;[[8.0, 1.0, 5.0, 7.0, 6.0, 9.0, 3.0], [1.0, 2.0, 4.0]]
69;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 2.0, 8.0, 1.0, 4.0]]
70;[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
71;[[1.0, 5.0, 7.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0, 6.0]]
72;[[1.0, 5.0, 7.0], [3.0, 2.0, 4.0, 9.0, 1.0, 8.0, 6.0]]
73;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0, 8.0, 6.0]]
74;[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0]]
75;[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 9.0, 3.0, 2.0, 4.0]]
76;[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
77;[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
78;[[8.0, 1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 1.0, 2.0, 6.0]]
79;[[1.0, 9.0], [8.0, 5.0, 7.0, 1.0, 3.0, 2.0, 4.0, 6.0]]
80;[[1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 4.0, 9.0, 1.0, 8.0]]
81;[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0]]
82;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
83;[[8.0, 1.0, 5.0, 7.0, 6.0, 1.0, 3.0, 2.0, 4.0, 9.0]]
84;[[9.0, 3.0, 1.0, 5.0, 7.0, 1.0, 8.0, 2.0, 4.0, 6.0]]
85;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
86;[[8.0, 1.0, 5.0, 7.0, 6.0, 9.0, 3.0], [1.0, 2.0, 4.0]]
87;[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
88;[[1.0, 5.0, 7.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0, 6.0]]
89;[[1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 1.0, 8.0, 2.0, 6.0]]
90;[[1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0, 8.0, 2.0, 6.0]]
91;[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
92;[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
93;[[8.0, 1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 1.0, 2.0, 6.0]]
94;[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 1.0, 2.0, 6.0]]
95;[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0]]
96;[[1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 4.0, 9.0, 1.0, 8.0]]
97;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0, 8.0, 6.0]]
98;[[1.0, 5.0, 7.0], [3.0, 2.0, 4.0, 9.0, 1.0, 8.0, 6.0]]
99;[[1.0, 5.0, 7.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0, 6.0]]
100;[[8.0, 1.0], [5.0, 7.0, 1.0, 3.0, 2.0, 4.0, 9.0, 6.0]]
101;[[8.0, 3.0, 9.0, 6.0, 5.0, 1.0, 2.0], [7.0, 1.0, 4.0]]
102;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
103;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
104;[[1.0, 3.0, 2.0], [8.0, 5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
105;[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
106;[[8.0, 1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 1.0, 2.0, 6.0]]
107;[[1.0, 9.0], [8.0, 5.0, 7.0, 1.0, 3.0, 2.0, 4.0, 6.0]]
108;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
109;[[8.0, 1.0, 5.0, 7.0, 6.0, 9.0, 3.0], [1.0, 2.0, 4.0]]
110;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 4.0, 8.0, 1.0, 2.0]]
111;[[9.0, 3.0, 1.0, 7.0, 4.0, 5.0, 6.0, 8.0, 2.0]]
112;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 2.0]]
113;[[8.0, 1.0, 3.0, 4.0, 9.0, 1.0, 5.0, 7.0, 6.0, 2.0]]
114;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 1.0, 8.0, 6.0, 7.0]]
115;[[1.0, 3.0, 2.0, 4.0, 9.0, 5.0, 7.0, 6.0], [1.0, 8.0]]
116;[[9.0, 3.0, 1.0, 5.0, 7.0, 2.0], [8.0, 1.0, 6.0, 4.0]]
117;[[9.0, 3.0, 1.0, 5.0, 7.0, 4.0, 8.0, 1.0, 2.0, 6.0]]
118;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 2.0], [8.0, 1.0, 4.0]]
119;[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 6.0, 1.0, 2.0]]
120;[[3.0, 9.0, 1.0, 5.0, 6.0, 2.0], [8.0, 1.0, 7.0, 4.0]]
121;[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
122;[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
123;[[8.0, 1.0, 5.0, 7.0, 1.0, 3.0, 2.0, 4.0, 9.0, 6.0]]
124;[[1.0, 3.0, 2.0, 4.0, 9.0], [8.0, 1.0, 5.0, 7.0, 6.0]]
125;[[1.0, 3.0, 2.0, 4.0, 9.0], [8.0, 1.0, 5.0, 7.0, 6.0]]
126;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 8.0]]
127;[[8.0, 1.0, 5.0, 7.0, 9.0, 3.0], [1.0, 2.0, 4.0, 6.0]]
128;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 4.0], [8.0, 1.0, 2.0]]
129;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
130;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
131;[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
132;[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
133;[[8.0, 1.0, 5.0, 7.0, 1.0, 3.0, 2.0, 4.0, 9.0, 6.0]]
134;[[1.0, 3.0, 2.0, 4.0, 9.0], [8.0, 1.0, 5.0, 7.0, 6.0]]
135;[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 6.0, 1.0, 2.0]]
136;[[3.0, 9.0, 1.0, 5.0, 7.0, 6.0, 2.0], [8.0, 1.0, 4.0]]
137;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0, 8.0, 6.0]]
138;[[1.0, 5.0, 7.0], [3.0, 2.0, 4.0, 9.0, 1.0, 8.0, 6.0]]
139;[[1.0, 5.0, 7.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0, 6.0]]
140;[[8.0, 1.0, 3.0, 4.0], [5.0, 7.0, 1.0, 2.0, 9.0, 6.0]]
141;[[9.0, 3.0, 1.0, 2.0], [8.0, 1.0, 5.0, 7.0, 6.0, 4.0]]
142;[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 9.0, 3.0, 2.0, 4.0]]
143;[[1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 8.0, 4.0, 9.0]]
144;[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
145;[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
146;[[8.0, 1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 1.0, 2.0, 6.0]]
147;[[8.0, 1.0, 9.0], [5.0, 7.0, 1.0, 3.0, 2.0, 4.0, 6.0]]
148;[[9.0, 3.0, 1.0, 7.0, 2.0, 5.0, 6.0, 8.0, 4.0]]
149;[[1.0, 3.0, 4.0, 9.0], [8.0, 1.0, 5.0, 7.0, 6.0, 2.0]]
150;[[3.0, 9.0, 1.0, 5.0, 6.0, 2.0], [8.0, 1.0, 7.0, 4.0]]
151;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
152;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
153;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 4.0, 8.0, 1.0, 2.0]]
154;[[9.0, 3.0, 1.0, 8.0, 2.0, 5.0, 7.0, 6.0, 4.0]]
155;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0, 2.0, 6.0]]
156;[[1.0, 5.0, 7.0], [8.0, 1.0, 9.0, 6.0, 3.0, 2.0, 4.0]]
157;[[1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 8.0, 4.0, 9.0, 6.0]]
158;[[1.0, 3.0, 2.0, 4.0], [5.0, 7.0, 1.0, 8.0, 9.0, 6.0]]
159;[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
160;[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
161;[[8.0, 1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 1.0, 2.0, 6.0]]
162;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0, 2.0, 6.0]]
163;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 1.0, 4.0, 9.0]]
164;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
165;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 2.0]]
166;[[8.0, 1.0, 3.0, 4.0, 9.0], [2.0, 1.0, 5.0, 7.0, 6.0]]
167;[[9.0, 3.0, 1.0, 2.0], [8.0, 1.0, 5.0, 7.0, 6.0, 4.0]]
168;[[1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 2.0, 1.0, 8.0]]
169;[[1.0, 3.0, 4.0, 9.0], [8.0, 1.0, 5.0, 7.0, 6.0, 2.0]]
170;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 2.0]]
171;[[8.0, 1.0, 3.0, 4.0, 9.0], [2.0, 1.0, 5.0, 7.0, 6.0]]
172;[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 6.0, 1.0, 2.0]]
173;[[1.0, 3.0, 4.0, 9.0], [8.0, 1.0, 5.0, 2.0, 7.0, 6.0]]
174;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0, 6.0, 2.0]]
175;[[8.0, 3.0, 9.0, 1.0, 5.0, 6.0, 2.0], [7.0, 1.0, 4.0]]
176;[[3.0, 1.0, 5.0, 6.0, 8.0, 2.0], [7.0, 1.0], [9.0, 4.0, 1.0]]
177;[[3.0, 1.0, 5.0, 6.0, 8.0, 2.0], [9.0, 4.0, 1.0], [7.0, 1.0]]
178;[[1.0, 3.0, 2.0, 4.0], [5.0, 7.0, 1.0, 6.0, 8.0], [9.0, 1.0]]
179;[[3.0, 1.0, 5.0, 7.0, 2.0], [9.0, 4.0, 1.0, 6.0, 8.0]]
180;[[1.0, 3.0, 2.0, 4.0], [9.0, 1.0, 5.0, 6.0, 8.0], [7.0, 1.0]]
181;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0, 6.0, 8.0]]
182;[[1.0, 3.0, 4.0, 9.0], [8.0, 1.0, 2.0, 5.0, 7.0, 6.0]]
183;[[1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 8.0, 2.0]]
184;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0, 8.0, 6.0]]
185;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 2.0]]
186;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 1.0, 2.0, 7.0, 6.0]]
187;[[3.0, 9.0, 1.0, 5.0, 6.0, 8.0, 2.0], [7.0, 1.0, 4.0]]
188;[[1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0, 6.0, 8.0, 2.0]]
189;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 2.0]]
190;[[8.0, 1.0, 3.0, 4.0, 9.0, 1.0, 5.0, 7.0, 6.0, 2.0]]
191;[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 6.0, 1.0, 2.0]]
192;[[3.0, 9.0, 1.0, 5.0, 7.0, 2.0], [8.0, 1.0, 6.0, 4.0]]
193;[[3.0, 1.0, 5.0, 7.0, 6.0, 1.0, 8.0, 2.0], [9.0, 4.0, 1.0]]
194;[[3.0, 1.0, 5.0, 7.0, 6.0, 4.0], [9.0, 1.0, 8.0, 2.0]]
195;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0, 8.0, 6.0]]
196;[[1.0, 5.0, 7.0], [3.0, 2.0, 4.0, 9.0, 1.0, 8.0, 6.0]]
197;[[1.0, 5.0, 7.0], [3.0, 8.0, 1.0, 2.0, 4.0, 9.0, 6.0]]
198;[[3.0, 1.0, 8.0], [5.0, 7.0, 1.0, 2.0, 4.0, 9.0, 6.0]]
