;full
199;[[9.0, 3.0, 1.0, 2.0], [8.0, 1.0, 5.0, 7.0, 6.0, 4.0]]
200;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0, 6.0, 2.0]]
201;[[3.0, 9.0, 1.0, 5.0, 6.0, 2.0], [8.0, 1.0, 7.0, 4.0]]
202;[[3.0, 9.0, 6.0, 5.0, 1.0, 2.0], [8.0, 1.0, 7.0, 4.0]]
203;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 2.0, 1.0, 8.0, 4.0]]
204;[[9.0, 3.0, 1.0, 8.0, 4.0, 5.0, 7.0, 6.0, 2.0]]
205;[[1.0, 3.0, 2.0, 4.0, 9.0], [8.0, 1.0, 5.0, 7.0, 6.0]]
206;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 8.0]]
207;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 2.0]]
208;[[8.0, 1.0, 3.0, 4.0, 9.0], [2.0, 1.0, 5.0, 7.0, 6.0]]
209;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 2.0]]
210;[[8.0, 1.0, 3.0, 4.0, 9.0], [2.0, 1.0, 5.0, 7.0, 6.0]]
211;[[9.0, 3.0, 1.0, 5.0, 7.0, 4.0], [8.0, 1.0, 2.0, 6.0]]
212;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 2.0], [8.0, 1.0, 4.0]]
213;[[1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 4.0, 9.0, 1.0, 8.0]]
214;[[1.0, 5.0, 7.0, 6.0], [8.0, 3.0, 2.0, 1.0, 4.0, 9.0]]
215;[[3.0, 6.0, 5.0, 1.0, 8.0, 4.0, 9.0], [1.0, 7.0, 2.0]]
216;[[1.0, 5.0, 7.0, 1.0, 3.0, 2.0, 6.0], [8.0, 1.0, 4.0, 9.0]]
217;[[1.0, 5.0, 7.0, 1.0, 3.0, 2.0, 6.0, 9.0, 4.0], [1.0, 8.0]]
218;[[1.0, 5.0, 7.0, 1.0, 8.0, 9.0, 3.0], [1.0, 2.0, 4.0, 6.0]]
219;[[1.0, 5.0, 7.0, 9.0, 3.0], [2.0, 4.0, 6.0, 1.0, 8.0]]
220;[[1.0, 5.0, 7.0, 9.0, 3.0], [1.0, 8.0, 1.0, 2.0, 4.0, 6.0]]
221;[[5.0, 8.0, 1.0, 3.0, 2.0, 6.0, 9.0, 4.0], [1.0, 7.0]]
222;[[1.0, 8.0, 5.0, 7.0, 9.0, 3.0], [1.0, 2.0, 4.0, 6.0]]
223;[[5.0, 8.0, 9.0, 3.0, 1.0, 2.0, 4.0, 6.0, 7.0]]
224;[[5.0, 8.0, 9.0, 3.0, 1.0, 7.0, 2.0, 1.0, 4.0, 6.0]]
225;[[9.0, 3.0, 6.0, 5.0, 1.0, 8.0, 4.0], [7.0, 1.0, 2.0]]
226;[[9.0, 3.0, 1.0, 5.0, 7.0, 2.0], [4.0, 6.0, 1.0, 8.0]]
227;[[9.0, 3.0, 1.0, 5.0, 7.0], [8.0, 1.0, 2.0, 4.0, 6.0]]
228;[[9.0, 3.0, 1.0, 8.0, 4.0, 5.0], [7.0, 2.0, 1.0, 6.0]]
229;[[8.0, 1.0, 3.0, 2.0, 5.0, 7.0], [6.0, 1.0, 4.0, 9.0]]
230;[[7.0, 9.0, 3.0, 1.0, 2.0, 1.0, 5.0, 6.0, 8.0, 4.0]]
231;[[9.0, 3.0, 1.0, 8.0, 4.0, 5.0, 7.0], [1.0, 2.0, 6.0]]
232;[[9.0, 3.0, 1.0, 2.0, 5.0, 7.0], [6.0, 1.0, 8.0, 4.0]]
233;[[9.0, 3.0, 1.0, 7.0, 2.0, 5.0, 6.0, 8.0, 4.0]]
234;[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
235;[[8.0, 1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 1.0, 2.0, 6.0]]
236;[[1.0, 3.0, 2.0], [8.0, 1.0, 5.0, 7.0, 4.0, 9.0, 6.0]]
237;[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 1.0, 2.0, 6.0]]
238;[[1.0, 3.0, 2.0, 8.0, 5.0], [7.0, 6.0, 1.0, 4.0, 9.0]]
239;[[1.0, 3.0, 2.0, 8.0, 4.0], [9.0, 1.0, 5.0, 7.0, 6.0]]
240;[[1.0, 3.0, 2.0, 1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 4.0, 9.0]]
241;[[1.0, 3.0, 2.0, 5.0, 7.0, 6.0, 4.0], [9.0, 1.0, 8.0]]
242;[[1.0, 3.0, 2.0, 4.0, 9.0], [8.0, 1.0, 5.0, 7.0, 6.0]]
243;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 8.0]]
244;[[8.0, 3.0, 9.0, 6.0, 5.0, 1.0, 2.0], [7.0, 1.0, 4.0]]
245;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0, 2.0, 6.0]]
246;[[8.0, 1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 1.0, 2.0, 6.0]]
247;[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
248;[[1.0, 3.0, 2.0], [8.0, 1.0, 5.0, 7.0, 4.0, 9.0, 6.0]]
249;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0, 2.0, 6.0]]
250;[[8.0, 1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 1.0, 2.0, 6.0]]
251;[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
252;[[1.0, 3.0, 2.0], [8.0, 1.0, 5.0, 7.0, 4.0, 9.0, 6.0]]
253;[[8.0, 1.0, 3.0, 4.0, 9.0], [2.0, 1.0, 5.0, 7.0, 6.0]]
254;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 2.0]]
255;[[1.0, 3.0, 2.0, 4.0, 9.0], [8.0, 1.0, 5.0, 7.0, 6.0]]
256;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 8.0]]
257;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 4.0, 8.0, 1.0, 2.0]]
258;[[9.0, 3.0, 1.0, 8.0, 2.0, 5.0, 7.0, 6.0, 4.0]]
259;[[8.0, 1.0, 3.0, 4.0, 9.0], [2.0, 1.0, 5.0, 7.0, 6.0]]
260;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 2.0]]
261;[[1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 4.0, 9.0, 1.0, 8.0]]
262;[[1.0, 5.0, 7.0, 6.0], [8.0, 3.0, 2.0, 1.0, 4.0, 9.0]]
263;[[1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 4.0, 9.0, 1.0, 8.0]]
264;[[1.0, 5.0, 7.0, 6.0], [3.0, 8.0, 1.0, 2.0, 4.0, 9.0]]
265;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 4.0, 8.0, 1.0, 2.0]]
266;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 2.0, 8.0, 1.0, 4.0]]
267;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 4.0, 1.0, 8.0, 2.0]]
268;[[9.0, 3.0, 1.0, 8.0, 2.0, 5.0, 7.0, 6.0, 4.0]]
269;[[3.0, 9.0, 1.0, 5.0, 6.0, 8.0, 4.0], [7.0, 1.0, 2.0]]
270;[[1.0, 3.0, 4.0, 9.0], [7.0, 1.0, 2.0, 5.0, 6.0, 8.0]]
271;[[8.0, 1.0, 3.0, 4.0, 9.0, 1.0, 5.0, 6.0, 7.0], [1.0, 2.0]]
272;[[5.0, 1.0, 8.0, 3.0, 2.0, 4.0], [9.0, 1.0, 6.0, 7.0]]
273;[[5.0, 1.0, 8.0, 3.0, 2.0, 6.0], [7.0, 1.0, 4.0, 9.0]]
274;[[5.0, 1.0, 3.0, 4.0, 9.0], [8.0, 1.0, 2.0, 6.0, 7.0]]
275;[[5.0, 1.0, 8.0, 3.0, 4.0, 9.0, 6.0], [7.0, 1.0, 2.0]]
276;[[5.0, 1.0], [7.0, 6.0, 1.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0]]
277;[[5.0, 1.0, 8.0], [7.0, 6.0, 1.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
278;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 2.0, 1.0, 8.0, 4.0]]
279;[[9.0, 3.0, 1.0, 8.0, 4.0, 5.0, 7.0, 6.0, 2.0]]
280;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 1.0, 2.0, 6.0, 7.0]]
281;[[8.0, 1.0, 3.0, 4.0, 9.0, 5.0, 7.0, 6.0], [1.0, 2.0]]
282;[[8.0, 1.0, 3.0, 4.0, 9.0], [2.0, 1.0, 5.0, 7.0, 6.0]]
283;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 2.0]]
284;[[1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 4.0, 9.0, 1.0, 8.0]]
285;[[1.0, 5.0, 7.0, 6.0], [3.0, 8.0, 1.0, 2.0, 4.0, 9.0]]
286;[[1.0, 3.0, 2.0, 4.0, 9.0, 5.0, 7.0], [6.0, 1.0, 8.0]]
287;[[3.0, 9.0, 1.0, 5.0, 6.0, 8.0, 4.0], [7.0, 1.0, 2.0]]
288;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0, 6.0, 8.0]]
289;[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
290;[[8.0, 1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 1.0, 2.0, 6.0]]
291;[[1.0, 3.0, 2.0], [8.0, 1.0, 5.0, 7.0, 4.0, 9.0, 6.0]]
292;[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 1.0, 2.0, 6.0]]
293;[[3.0, 9.0, 1.0, 5.0, 6.0, 8.0, 2.0], [7.0, 1.0, 4.0]]
294;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0, 6.0, 8.0]]
295;[[1.0, 5.0, 7.0, 6.0], [3.0, 2.0, 4.0, 9.0, 1.0, 8.0]]
296;[[1.0, 5.0, 7.0, 6.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0]]
297;[[9.0, 3.0, 1.0, 7.0, 4.0, 5.0, 6.0, 8.0, 2.0]]
298;[[1.0, 3.0, 2.0, 8.0, 5.0], [7.0, 1.0, 4.0, 9.0, 6.0]]
299;[[1.0, 5.0, 8.0], [3.0, 4.0, 9.0, 1.0, 6.0, 7.0, 2.0]]
300;[[3.0, 1.0, 5.0, 7.0, 2.0], [8.0, 1.0, 4.0, 9.0, 6.0]]
301;[[1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 6.0, 1.0, 8.0, 2.0]]
302;[[5.0, 1.0, 8.0, 3.0, 2.0, 6.0], [7.0, 1.0, 4.0, 9.0]]
303;[[5.0, 1.0, 8.0, 3.0, 2.0, 4.0], [9.0, 1.0, 6.0, 7.0]]
304;[[1.0, 8.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
305;[[1.0, 8.0, 5.0, 7.0], [3.0, 4.0, 9.0, 1.0, 2.0, 6.0]]
306;[[5.0, 1.0, 8.0], [3.0, 4.0, 9.0, 1.0, 6.0, 7.0, 2.0]]
307;[[5.0, 1.0, 8.0], [3.0, 4.0, 9.0, 1.0, 6.0, 7.0, 2.0]]
308;[[7.0, 1.0, 3.0, 2.0], [5.0, 8.0, 1.0, 4.0, 9.0, 6.0]]
309;[[1.0, 5.0, 7.0, 3.0, 2.0, 6.0, 4.0], [9.0, 1.0, 8.0]]
310;[[1.0, 5.0, 7.0, 1.0, 8.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
311;[[1.0, 5.0, 7.0, 1.0, 8.0], [3.0, 4.0, 9.0, 1.0, 2.0, 6.0]]
312;[[1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 6.0, 1.0, 8.0, 2.0]]
313;[[1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 6.0, 1.0, 8.0, 2.0]]
314;[[9.0, 1.0, 5.0, 8.0], [3.0, 2.0, 1.0, 4.0, 6.0, 7.0]]
315;[[1.0, 3.0, 4.0, 9.0, 8.0, 2.0, 5.0], [7.0, 1.0, 6.0]]
316;[[1.0, 3.0, 4.0, 9.0, 5.0, 7.0], [6.0, 1.0, 8.0, 2.0]]
317;[[3.0, 9.0, 1.0, 5.0, 7.0, 2.0], [8.0, 1.0, 4.0, 6.0]]
318;[[1.0, 3.0, 4.0, 9.0], [5.0, 1.0, 8.0, 2.0, 6.0, 7.0]]
319;[[1.0, 3.0, 4.0, 9.0, 5.0, 7.0, 6.0], [1.0, 8.0, 2.0]]
320;[[3.0, 1.0, 5.0, 7.0, 2.0], [6.0, 1.0, 8.0, 4.0, 9.0]]
321;[[3.0, 1.0, 5.0, 7.0, 2.0], [9.0, 4.0, 1.0, 6.0, 8.0]]
322;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0, 8.0, 6.0]]
323;[[8.0, 1.0, 3.0, 4.0, 9.0, 1.0, 5.0, 6.0, 7.0], [1.0, 2.0]]
324;[[8.0, 1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
325;[[8.0, 1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 1.0, 2.0, 6.0]]
326;[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
327;[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 1.0, 2.0, 6.0]]
328;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 2.0], [8.0, 1.0, 4.0]]
329;[[3.0, 9.0, 6.0, 5.0, 1.0, 8.0, 2.0], [7.0, 1.0, 4.0]]
330;[[1.0, 5.0, 7.0, 6.0], [8.0, 3.0, 2.0, 1.0, 4.0, 9.0]]
331;[[1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 8.0, 2.0]]
332;[[1.0, 3.0, 4.0, 9.0, 1.0, 5.0, 6.0, 8.0, 2.0], [7.0, 1.0]]
333;[[1.0, 3.0, 4.0, 9.0], [7.0, 1.0, 2.0, 5.0, 6.0, 8.0]]
334;[[9.0, 3.0, 1.0, 5.0, 7.0, 2.0, 8.0, 1.0, 4.0, 6.0]]
335;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0, 8.0, 6.0]]
336;[[1.0, 5.0, 7.0], [3.0, 2.0, 4.0, 9.0, 1.0, 8.0, 6.0]]
337;[[1.0, 5.0, 7.0], [8.0, 3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
338;[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
339;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 4.0], [8.0, 1.0, 2.0]]
340;[[3.0, 9.0, 6.0, 5.0, 1.0, 8.0, 4.0], [7.0, 1.0, 2.0]]
341;[[8.0, 1.0, 3.0], [5.0, 7.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
342;[[3.0, 9.0, 1.0, 5.0, 7.0, 2.0], [8.0, 1.0, 4.0, 6.0]]
343;[[1.0, 3.0, 2.0, 8.0, 5.0], [7.0, 6.0, 1.0, 4.0, 9.0]]
344;[[3.0, 1.0, 8.0, 2.0], [9.0, 4.0, 1.0, 5.0, 7.0, 6.0]]
345;[[1.0, 3.0, 2.0, 4.0], [5.0, 7.0, 6.0, 1.0, 8.0], [9.0, 1.0]]
346;[[1.0, 3.0, 2.0, 5.0, 7.0, 6.0, 4.0], [9.0, 1.0, 8.0]]
347;[[1.0, 3.0, 2.0, 4.0, 9.0], [8.0, 1.0, 5.0, 7.0, 6.0]]
348;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 8.0]]
349;[[1.0, 3.0, 4.0, 9.0], [8.0, 5.0, 7.0, 6.0, 1.0, 2.0]]
350;[[1.0, 3.0, 4.0, 9.0, 1.0, 8.0, 5.0, 7.0, 6.0, 2.0]]
351;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 1.0, 2.0, 6.0, 7.0]]
352;[[8.0, 1.0, 3.0, 4.0, 9.0, 5.0, 7.0, 6.0], [1.0, 2.0]]
353;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 2.0]]
354;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 1.0, 2.0, 7.0, 6.0]]
355;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0, 8.0, 6.0]]
356;[[1.0, 5.0, 7.0], [3.0, 2.0, 4.0, 9.0, 1.0, 8.0, 6.0]]
357;[[1.0, 5.0, 7.0], [8.0, 3.0, 2.0, 1.0, 4.0, 9.0, 6.0]]
358;[[8.0, 1.0, 3.0, 2.0], [5.0, 7.0, 1.0, 4.0, 9.0, 6.0]]
359;[[8.0, 1.0, 3.0, 4.0, 9.0], [5.0, 7.0, 1.0, 2.0, 6.0]]
360;[[1.0, 5.0, 7.0], [8.0, 1.0, 3.0, 2.0, 4.0, 9.0, 6.0]]
361;[[1.0, 5.0, 7.0], [3.0, 2.0, 1.0, 8.0, 4.0, 9.0, 6.0]]
362;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 1.0, 8.0, 6.0]]
363;[[3.0, 1.0, 5.0, 7.0, 4.0, 9.0], [6.0, 1.0, 8.0, 2.0]]
364;[[9.0, 3.0, 1.0, 7.0, 4.0, 5.0, 6.0, 8.0, 2.0]]
365;[[5.0, 6.0, 1.0, 8.0, 9.0, 3.0, 2.0], [1.0, 7.0, 4.0]]
366;[[9.0, 3.0, 1.0, 7.0, 4.0, 5.0, 6.0, 8.0, 2.0]]
367;[[9.0, 3.0, 1.0, 7.0, 4.0, 5.0, 6.0, 8.0, 2.0]]
368;[[9.0, 3.0, 1.0, 7.0, 4.0, 5.0, 6.0, 8.0, 2.0]]
369;[[1.0, 3.0, 2.0, 4.0, 9.0], [8.0, 1.0, 5.0, 7.0, 6.0]]
370;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 7.0, 6.0, 1.0, 8.0]]
371;[[8.0, 1.0, 5.0, 7.0, 9.0, 3.0], [1.0, 2.0, 4.0, 6.0]]
372;[[1.0, 5.0, 7.0, 6.0, 1.0, 3.0, 8.0, 9.0, 4.0], [1.0, 2.0]]
373;[[1.0, 5.0, 7.0, 6.0, 1.0, 3.0, 2.0, 9.0, 4.0], [1.0, 8.0]]
374;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 4.0], [8.0, 1.0, 2.0]]
375;[[9.0, 3.0, 1.0, 5.0, 7.0, 6.0, 4.0], [2.0, 1.0, 8.0]]
376;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 8.0, 1.0, 6.0, 7.0]]
377;[[1.0, 3.0, 2.0, 4.0, 9.0, 1.0, 5.0, 6.0, 7.0], [1.0, 8.0]]
378;[[5.0, 6.0, 1.0, 8.0, 7.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
379;[[1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 2.0], [8.0, 1.0]]
380;[[5.0, 6.0, 1.0, 3.0, 4.0, 9.0], [8.0, 7.0, 1.0, 2.0]]
381;[[8.0, 1.0, 5.0, 7.0, 6.0], [3.0, 4.0, 9.0, 1.0, 2.0]]
382;[[8.0, 1.0, 5.0, 7.0], [3.0, 4.0, 9.0, 6.0, 1.0, 2.0]]
383;[[8.0, 1.0, 3.0, 4.0, 9.0, 2.0], [1.0, 5.0, 7.0, 6.0]]
384;[[3.0, 9.0, 6.0, 5.0, 1.0, 2.0], [8.0, 1.0, 7.0, 4.0]]
385;[[3.0, 9.0, 1.0, 5.0, 7.0, 6.0, 4.0], [8.0, 1.0, 2.0]]
386;[[3.0, 9.0, 1.0, 2.0], [5.0, 7.0, 6.0, 1.0, 8.0, 4.0]]
387;[[3.0, 9.0, 1.0, 2.0], [8.0, 1.0, 5.0, 4.0, 7.0, 6.0]]
388;[[1.0, 3.0, 4.0, 9.0, 8.0, 5.0, 7.0], [6.0, 1.0, 2.0]]
389;[[3.0, 9.0, 1.0, 8.0, 5.0, 7.0, 4.0, 2.0], [1.0, 6.0]]
390;[[1.0, 5.0, 7.0, 6.0], [8.0, 3.0, 4.0, 9.0, 1.0, 2.0]]
391;[[1.0, 5.0, 7.0, 6.0], [8.0, 3.0, 2.0, 1.0, 4.0, 9.0]]
392;[[1.0, 3.0, 2.0, 4.0, 9.0], [5.0, 8.0, 1.0, 6.0, 7.0]]
393;[[1.0, 3.0, 2.0, 4.0, 9.0, 1.0, 5.0, 6.0, 7.0], [1.0, 8.0]]
